dttl,swin,dwin,ct_state_ttl,proto_tcp,proto_udp,service_dns,state_FIN,state_INT
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,0,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
252,255,255,1,1,0,0,1,0
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
0,0,0,2,0,1,1,0,1
